University of Toronto,27 King's College Cir Toronto ON M5S 1A1,98.0,100.0,Toronto,21,true
Toronto Metropolitan University,350 Victoria St Toronto ON M5B 2K3,92.0,100.0,Toronto,601,true
Queen's University,99 University Ave Kingston ON K7L 3N6,94.0,100.0,Kingston,251,false
York University,4700 Keele Street Toronto Ontario M3J 1P3 Canada,91.0,50.0,Toronto,351,true
University of Ottawa,75 Laurier Ave E Ottawa ON K1N 6N5,90.0,50.0,Ottawa,177,false
University of Guelph,50 Stone Rd E Guelph ON N1G 2W1,94.0,50.0,Guelph,400,false
University of Waterloo,200 University Ave W Waterloo ON N2L 3G1,99.0,50.0,Waterloo,158,false
Wilfrid Laurier University,75 University Ave W Waterloo ON N2L 3C5,95.0,50.0,Waterloo,401,false
Carleton University,1125 Colonel By Dr Ottawa ON K1S 5B6,90.0,50.0,Ottawa,501,false
McMaster University,1280 Main St W Hamilton ON L8S 4L8,96.0,50.0,Hamilton,103,false
